CEP,lat,lon,Bairro
08275030,-23.0423799479,-46.636,Jardim Nossa Senhora do Carmo
08230023,-23.6781400131,-46.4940382185,Vila Taquari
04010200,-23.3217399707,-46.636,Vila Mariana
04545010,-23.548,-46.3164387254,Vila Olímpia
04674090,-23.240919965,-46.3010251695,Jardim Itapeva
01211101,-23.5555600042,-46.6277532537,Santa Cecília
03087010,-23.548,-46.4966889488,Parque São Jorge
05615020,-23.548,-46.1733970099,Vila Progredior
03187020,-23.6853400174,-46.636,Vila Bertioga
04143010,-23.6154580936,-46.635613376,Saúde
04350020,-23.548,-46.3428479366,Vila Babilônia
02801000,-23.548,-46.7423240808,Vila Brasilândia
05415000,-23.9509300421,-46.1964682586,Pinheiros
08080600,-24.0247300563,-46.636,Parque Paulistano
01514000,-23.5540003,-46.6281125,Liberdade
05579000,-23.1278799494,-46.636,Vila Pirajussara
04625005,-23.8490500369,-46.3076029258,Nova Piraju
02278000,-23.6019100071,-46.6948071298,Vila Nilo
08280560,-24.0550600548,-46.636,Jardim Nossa Senhora do Carmo
03460000,-23.548,-46.4529026755,Jardim Vila Formosa
01425000,-23.5639300093,-46.6186229271,Jardim Paulista
05861260,-23.548,-46.1420790257,Capão Redondo
05356000,-23.1528099555,-47.0670886514,Vila São Silvestre
01540040,-23.548,-46.6600529993,Cambuci
04086003,-23.548,-46.8918453708,Indianópolis
03186040,-23.548,-46.4861841691,Vila Bertioga
03184010,-23.5661905,-46.5878691,Alto da Mooca
04766070,-23.2306599662,-46.2898331644,Socorro
05717170,-23.9808100439,-46.636,Vila Andrade
02010000,-23.5717600081,-46.6100816602,Santana
02241030,-23.5004799872,-46.5841633242,Vila Dom Pedro II
04543120,-23.5882201335,-46.6721418825,Vila Nova Conceição
08210660,-23.548,-46.0982927544,Itaquera
05144085,-23.5012537,-46.7205435,Jardim Íris
02544000,-23.6323300092,-46.7279904498,Casa Verde Alta
02552100,-23.6329600166,-46.636,Vila Bandeirantes
03363000,-23.3913099768,-46.8069235638,Vila Formosa
01532020,-23.526489992,-46.636,Aclimação
08275070,-24.0536200578,-46.636,Jardim Nossa Senhora do Carmo
03905110,-23.7573400287,-46.864356235,Jardim Nice
08253290,-23.548,-47.183721149,Conjunto Residencial José Bonifácio
04552030,-23.8421200359,-46.636,Vila Olímpia
04130000,-23.7877600247,-46.3744604518,Vila Gumercindo
01306010,-23.5592500094,-46.636,Bela Vista
01417020,-23.548,-46.6194083374,Cerqueira César
01311940,-23.548,-46.6227463056,Bela Vista
04514030,-23.8372600357,-46.636,Vila Uberabinha
04130010,-23.7877600304,-46.636,Vila Gumercindo
04530000,-23.2576599661,-46.952714187,Itaim Bibi
04269001,-23.548,-46.9169782992,Vila Dom Pedro I
05670010,-23.9772100474,-46.167801008,Cidade Jardim
05350000,-23.1533499566,-46.636,Rio Pequeno
04288000,-23.548,-46.3530581877,Vila Brasílio Machado
08110810,-24.0274300557,-46.1130190723,Vila Itaim
04140060,-23.3070699752,-46.8988158297,Chácara Inglesa
03170050,-23.4127299844,-46.4884422126,Alto da Mooca
01510001,-23.5280199961,-46.636,Liberdade
03153002,-23.548,-46.7812997517,Quinta da Paineira
03654100,-23.5229136,-46.5157134,Vila Granada
03819120,-23.753830029,-46.636,Parque Císper
01403010,-23.5622200089,-46.651511738,Jardim Paulista
03432010,-23.7128800232,-46.636,Vila Santa Isabel
01423010,-23.5323399919,-46.6530825451,Jardim Paulista
05890300,-24.0091600508,-46.1329487033,Jardim Amália
